強欲,ラベル_強欲,嫉妬,ラベル_嫉妬,怠惰,ラベル_怠惰,憤怒,ラベル_憤怒,暴食,ラベル_暴食,傲慢,ラベル_傲慢
"@DDOTFPB こう地道な活動をしてくれている人の作った畑で
たまに出て全部美味しいところもっていく人になりたい。",2,"@Nyancmo 2部は見れたので良かったです。
でも沙花叉を生で見れなかったのが悔しい(&gt; &lt;)
これからはFCはPCで見ることにします！

PCなくて見れないって人意外といますからね。",2,"RT @YOSHI20220811: おはようございます☀
暑そうです

なな、な、なんと
今度もまたか笑なりすましと思ったら、
YOSHIKI様からフォロバが
๐·°(৹˃ᗝ˂৹)°·๐๐·°(৹˃ᗝ˂৹)°·๐
今日は、これだけでがんばれます
ありがとうございます🌹

皆さ…",2,「できる…、かもな…おこちゃまと一緒にいると、なんだってできる気になってくるのが恐ろしいぜ。」「戦争を終わらせるため…未来を紡いでいくために、ジュードのお母さんの遺志、私たちで引き継ごう。」,2,キリスト教の七つの大罪、「ＯＭＯＲＯじゃない」「全然ＯＭＯＲＯじゃないのにＯＭＯＲＯって言い張る」「ＯＭＯＲＯを理解しない」「ＯＭＯＲＯをパクる」「ＯＭＯＲＯになる努力をしない」「ＯＭＯＲＯを妬む」あと一つナンダッケ～～？,2,@pian_st え、きもいだったのかよ！！くっそ外した…,2
"油断してた...
巾着ほしかった🥹

みくろうさんの全部かわいいです↓↓↓ https://t.co/Tux2csbiPl",2,"好きぴへメッセージ！！✉️
みはるちゃ！大好きみはるちゃ！出会ってからもう4年とかかな？キンプリデビュー当時からずっと仲良くしてくれてる私のオタ友の中で数少ない繋がりが長い人🥺ほんと未だに会えてないの悔しい🤧次ツはしょうかい連番す… https://t.co/GtosVf7kBw",2,"お盆休み入ってから電池切れたぁぁ…

またスイッチいれなきゃっ✨💪
新しいことも今度こそ始めるっ🐘",2,"RT @mayan_someya: 先日のおことちゃんに影をつけた。おことちゃんは琴を教えてくれるキャラクター。つまり琴の先生なのだが、何故かたけのこご飯を食べさせてくれたりもする。何故に？
 #アンパンマン   #イラスト 
 #お絵描き好きさんと繋がりたい https://…",2,"RT @ChannelPractice: 自分が何かやりたいことをできない理由ばっかり並べて、他人を妬む人。本当に疲れる…。

私も楽して今の仕事をしているわけじゃないし、ピアノを練習する時間も湧いて出てくるわけじゃないんだけど。

高校生から逆算して必死で勉強してきたんだけど…",2,ねぇまって家の中にめっちゃでかい緑色の虫いたんだけどなにきもい😭😭家の中に虫なんて出たことないのにさいあくさわっちゃった助けて処理できない🥲,2
全部、周りの環境のせいにしたり、人のせいにしたりしていきてる。もっと自分の人生なんだから、自分で選んだ道なんだから、責任持てばいいのに。環境変える勇気もなければ行動力もないし、何一つ尊敬できない...,2,"ヘキサ最後の曲、赤譜面初見バリア5チャレンジしたけど、ギアチェン無しで行ったら最後でやられた(´ºωº｀)

普通にギアチェンタイミング用意されてて悔しいわね",2,"『ネト充のススメ』や『かくりよの宿飯』なども発見した。
アマプラでは見れないアニメだから、また今度じっくり見よう😊",2,ギャルが教える、おこの６段階変形♪ https://t.co/Kcf1XZIH3B,2,"@jammyAO 自己確立すると他人を羨む妬む僻むとか減るみたいね
他人の短所をその人の個性と捉える様になったり(もちろん個人差はある)
この人何度言っても靴下裏返して洗濯カゴに入れるから毎回怒るの疲れる➙こういう人だから言っても無駄だと思う様になるとか変化があるみたい",2,うちのボス50歳くらいが娘(たぶん高学年～中学生くらい)のお尻触ったら気持ち悪い！って言われたから誰が稼いだ金で生活してると思ってるんだ！って言ったんだって話をされた学生さんから聞いたんだけど　学生にその話をするボスも、年頃の娘の… https://t.co/ouw1CsV5EG,2
メイドインアビス溜まってた分全部見たけど最後食べたら治った食べ物イルミューイの子どもの死体スープなんかな🤔,2,郁芽ちゃんも縁寿くんもかわい〜〜〜〜　悔しいから居鳥も真白くんと遊びに行きます(？),2,@IZuRuuN また今度ねー,2,"@codsieru いやいや！おこさんじゃないよん！☺️
私がYouTube始める前の時の話！",2,RT @motokokuroma: 20xx年、世界はせぶんた君によって支配されていた、全面核戦争、世界恐慌、飢饉による混乱に乗じてせぶんた君が実質的な人類の指導者の座に着いたのである、特に圧政や重い税収も無く、せぶんた君は可愛い女装男子とブヒブヒ出来れば良い感じだったのでそれ…,2,"✱ あ〜なた〜 に〜げ〜て〜よ〜
   王さまに〜 み〜つ〜か〜る〜

  ニンゲンは〜 てき なの〜
  かなし〜い け〜れ〜ど〜も〜

  オ〜リ〜に〜 い〜れ〜ら〜れ〜
  き〜っと〜 ブッこ〜ろ〜さ〜れ〜る〜

  こ〜れ〜で〜 お〜わ〜か〜れ〜
  バイバイ バ〜イ",2
"RT @shiyun928: 俺は充分過ぎるほど
伝えさせていただきました

逆にお前が伝えたい事
全部受け止めたい

『全員』
なんでもリプしてくれ
なんっっっでもいい

#KnightA100時間リレー生放送 
#俺たちが最強
#ありがとう

↓↓↓↓↓↓↓↓↓↓↓↓↓ h…",2,"RT @waterboy_LI: 結女ちゃんがこのオーディションにどれだけ懸けていたかは、わかってるつもり。そして今この状況になってどれだけ悔しいかということも。

途中とはいえ、このptと順位まで来たことは誇っていいと思う。後は肩の荷を下ろして、一緒に結果を見守ろう😌
#大場…",2,"RT @bwkZhVxTlWNLSxd: 東くんにだいぶ以前にスタジオで会った時に「最近は政治の方は」と聞いたら即答で「やってません」と言われ、鼻白んでがっかりしたが、今度はまた返り咲こうとしている。
狙撃事件後、統一教会擁護な発言していたのは、票を減らしたくなかったのか。",2,"@03OUtNes70mMmE9 おこさん、おはようございます💛
出勤できるようになってもまだ85％の回復とは
恐るべしですね😳
お身体お大事に💗

朝ステーキ食べて✨
今日も良い一日を🌈",2,世の中の道理学ぶにケトルベルが役立ちました。スナッチで持久力高まり、格闘技スパーリングで圧勝する事が逆風になり、人が何故妬むかを知りました。強い人やのちに歴史に名を刻みそうな人と出会い、またケトルベルで自宅に呼んでくれたり、クラスに来てくれたりと。学ぶ事は尽きません。,2,@JELJURI_ll ちんちんー！って叫んでたのもじゅりだったのね♡♡きもい♡♡♡,2
"@honeyko_825 この一連
全部以前の自分のことと
考え方が同じで
いいねを100押したい！",2,スポーツトレンドを見てみて思う。悔しいけど、態度がね。感情出していこうと言ってたけど子供もみてるんだから、ここはやっぱりプロはクールでいってほしかった。,2,"朝ペイ送ってきた

また今度 https://t.co/VGubT2FNYk",2,@kenz88_Gretel ひつまさああああんん早く戻ってきてくださいおこおこおこおこ,2,RT @heianwaki: 世界宗教や保守派がいくら「妬むな」と指摘しても、妬むのが人間ですわ。そして「妬む」ことに特化したのがフェミニズムですわ。マルクス主義も同じ。とにかく「妬み」を肯定したイデオロギー。,2,好きな人可愛すぎるんだけど可愛いって言いすぎたらきもい？？だって可愛いんだもん,2
一応線全部抜いといてまた朝試してみよ,2,"なんと、気付かぬ内にCPU（maniac）に勝てるようになってきた！
ただ、対策したのにランクタワー7階で対戦してくれたソルに2-1で負けたのが悔しい…
今日の宿題は画面端コンボでのダッシュ→溜めダストが偶に入らない事と、立ち回り… https://t.co/AJ2tOCEk5J",2,@shellula_0623 また今度(*‘ω‘ *),2,日本画室の前では静かにして下さいね(⌒-⌒)(講評前とか騒いだらおこだよ！必殺技かますよ！),2,世界宗教や保守派がいくら「妬むな」と指摘しても、妬むのが人間ですわ。そして「妬む」ことに特化したのがフェミニズムですわ。マルクス主義も同じ。とにかく「妬み」を肯定したイデオロギー。,2,@GUMI_252 せめてきもいにしとけよwww,2
新作のニット系全部かわいいな、ほしいな、一色ずつなら買ってもいいかな🤤💸💸💸💸💸💸,2,"RT @kotsubo48: 嘆き悲しみたい気持ちはわかる、私も同じです。

けどね、指揮官が討ち取られたとき、ワーワー泣いて武器を放り出してうずくまっては勝負にならない。
悔しいからこそ、立って戦え！と私は言いたい。

「ブルーリボンバッジを着用するんだ」という意思表示を、議…",2,@hezuruy 愛しいへずまりゅう！おはよー！チュッ（笑）へずまりゅう！俺にもチュッは？（笑）まだお風呂かな？一緒に入ろう！ 今度ね！って…もう俺とへずまりゅうは、何でもありでしょ？（笑）また湯船に浸かって、ちょっと恥ずかしそう… https://t.co/Mz9KhqBgic,2,9時です。秋雲ちゃんどこか行くの？おにおこも連れてって～！,2,上司いいなあ。彼氏と頻繁に長電話できてって男の上司を妬むくらい会えない😭だけど次のデートの日程決まったし、好きなだけ写真撮っていいって言ってもらったし、今日は頻繁にLINEできたから超満足でもある🤭あとは一緒に住もうって言われれば、、！,2,@yukkuri_kanaria みんな文句言うならpad使えって言ってるけどレブオクきもいとかディボ弱体化しろとかホライゾンばっかじゃんとか言ってきたんじゃないの？,2
"@yeoleum_shuawoo 絶対残す！
トレカと一緒に中に入ってるの全部残してる！",2,"勝ちたかったな。悔しい！
引き続き応援するのみ！！
西村と岩ちゃんは大丈夫なのかな。",2,@R1ily_ @xlpon_ @AlfredVFX また今度遊ぼうね！家が近すぎたから遊んでくる,2,"RT @hamaguriken: おっはまぁぁ🌞朝は一気に秋の気配でてきて過ごしやすくなってきたワンな💕まだ夏らしいことしてないワン😅

三重県新型コロナ死者数5人 
重傷病症使用率4%

感染者数だけはスゴいワンね🐶早く枠組み変えないと他の病気の方とかの心配しちゃうワン😰とり…",2,"輝かしい世界だと思い込んでいるのを妬むようなこともあるのだ

上手く行くかもわからない世界
惰性では見れないのかもしれない、他人にわかるのかな

考えすぎといえばそうかもしれないけどなのだ",2,"@2 H×H贋作『仕様書』
・基本施錠
・同作〇他作△/創作一般同顔×
・呼鈴歓迎
・空中有
・縁切石積/迷惑行為等
・部屋鍵無出入自由/挨拶必須
・原作緩/知識修復中
・死垢使用有/閲覧自己責任
・出戻/恋仲不要

随時追記",2
"100名城スタンプを始めて、初めて失敗した😭
ゴム印難しいから全部シャチハタにしてほしい(お城によってまちまち) https://t.co/eLJj0STpPc",2,"エヴァ伸びないから辞めたら速攻27連もされました

悔しいです。",2,"@tori_saburo んなことよりお前の方は元気か? ちゃんと蕎麦食ってるか?
ちくしょう、やっぱ言えねぇや
また今度送るよ 福井の Sobber",2,"RT @yuhkitakada: アジア図書館で寒くなったのでUBC内の「にとべがーでん」で甲羅干し。初めて来た！学生は無料です。

新渡戸稲造はカナダで亡くなった…、そんな理由で庭名に？
折りしも緑祭りで日差しの角度のせいか、ばっきばきの鮮やかさと濃い〜い影で、中間色も風情も…",2,@RISE29026755 引けなかったのか知らんけど妬むなってww,2,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 軽く自己紹介してください(質問…
● ☆nozomu☆さんが一番カッ…
● 通話しよーって言ったら断る？…
● LINEの交換出来ますか？
#質問箱 #匿名質問募集中

https://t.co/8QYGnBqMC1",2
RT @tasutekete: セブンス全部観た https://t.co/Y4Y4druopo,2,"さ、さんたて…
悔しい！
上昇気流はいつ…
明日からの阪神戦、大丈夫かな？！
もう残りも少ないし、毎試合毎試合今日負けたら終わるという気持ちで戦おう！
頑張れジャイアンツ！！
負けるな巨人軍！！！！
#ジャイアンツファンと繋がりたい",2,"RT @shirakamifubuki: おつこぉーん！
今日もゆるーいRUSTありがとうございました！
ドンパチ聞こえたりしてついに戦いが勃発しはじめましたね！！！！！
そして！！！！RUSTの仕様により！！！
我が家がぺこはうすに(^・ω・^§)ﾉ
今度またぺこちゃん家に描…",2,RT @senkouhanabi_7: 七が🌸の横を通iるとふわりと香ii水の匂iいがした。七はそれに気i付iき「香ii水をつけているのですか？」と聞く。すると🌸は嬉iしそうに「あ、気が付きました？これ〇〇君が付けてて良い匂iいだと褒iめiたら私にもつけてくれて」と言った。それ…,2,"個人的に思うことをブツブツと。
日本って「妬む」人が多い気がする。
他人の成功を妬んで何が楽しいんやろって思ってまう。
カップルがイチャついてようが、金持ちが何しようが、別にええやん。
妬む時間の方がもったいないで。
そんなんするんやったら自分を磨く時間を作ればええやんって思う。",2,@BoLu213: 爆料革命/新中國聯邦絕不是反華，而是滅共!滅共更不是清算九千萬黨員，而是審判中共黑幫中那些盜國賊家族及利益集團! 將他們70年來盜取中國人民的財富奪回來，建立一個一人一票，民主信仰自由的，於美國日本和世界永遠和平的全新聯邦國家，讓華人重新開始為這個世界…,2
セブンのウマ娘のクリアファイル全部揃えられた泣,2,"10問中、9問正解です！あなたは愛知県民です｜愛知県民にしか解けない！ #愛知県駅名地名クイズ #愛知クイズ #kuizy
 https://t.co/GzddPFi95t

え、普通に悔しい、最後今まで勘違いして読んでた＿＿＿＿＿＿＿",2,"@CH1KUWA_bu 幻覚話すのとっても楽しかったです🥰🥰
またぜひ！！今度は私の音声もお届けしたいです！！",2,横浜 旭区 雲の湧き方が超きもい,2,"RT @moketomore: 人の""楽しさ""とか""幸せ""を妬む人間になるより、一緒に喜べる人間になりましょう。前者はあまりにも哀れですよ😇😇😇😇",2,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● ボードゲームやったことありまし…
● パンは好きですか？
● ドン・キホーテで好きな商品とか…
● 勝手に自己満で言いたいだけだけ…
#質問箱 #匿名質問募集中

https://t.co/G55AgKyv5H",2
ニトリで机買ったのに組み立てセット全部ないんだけど,2,今日は悔しいけど、最終節あちらのホームでリーグ戦優勝を見せつけられるというまたとない機会がありますので引き続き応援頑張ろうね🇫🇷,2,「また今度」とか言うててなくなっちゃったお店が沢山ある🥲 https://t.co/or5XqmlP9Z,2,"RT @RiKKYY__YUKI: はーい🙋‍♀️おはゆっぴ🐷☀️❤️
おつゆっぴ🐷❤️

昨日の夜は風が強かったよね！

大丈夫ぢゃったかな？？

今日も一緒に元気いっぱい

す
ま
い
る
と
う
き
い
❤️

ぢゃけぇね🙈💕

今日もキミは最高ぢゃ🐷☀️❤️ https…",2,"人の""楽しさ""とか""幸せ""を妬む人間になるより、一緒に喜べる人間になりましょう。前者はあまりにも哀れですよ😇😇😇😇",2," @muscularwriter: 在自卑與驕傲間，

我相信有個「中道」，

那需要靠內省來消化，

內省是件特別的事呢，

要拿捏力道，

要能鞭策自己，

也要能寬恕自己。

寬恕自己最難，

有時嘴巴上說算了，

心裡卻在意的要死。

這樣太逼雞了。

做人好難，…",2
すりーぷさんに名前呼ばれてしんだ 今日の疲れ全部吹っ飛んだ,2,@h4Xtl9te3mRkqC0 黄色にしちゃいそうですよね😭😭😭😭生配信見てましたが自担不在のライブ想像しちゃってなんかもう寂しいのと悔しいのと混ざり合ってしんどいです😭😭😭これは病み散らかしますよねわかります、、、、、、、、,2,"#夏だしフォロワーさんの怖い話教えてください
古い住宅団地で迷子になり、雨の中団地内を車で徘徊。
すると、自転車を押す高齢の男性と遭遇。
追い越してその先を左に曲がると、先ほどの高齢の男性・・・
追い越して今度は右折・・・
また先… https://t.co/wdnuTBln5b",2,@Ana_____aaa きもい〜😆,2,トレーラーどころか3tトラック、なんなら自転車も乗れるかどうか。人の仕事を妬む位の無知さしか持ってないんでしょう。 https://t.co/OgOdIqVdg5,2,@ssshreking 我也是 若我附近有人是支持KMT跟TMD、時力的我會覺得骨子裡不是壞就是笨蠢還喜歡雙標。這些人共同特質是，連查證都不會就人云亦云，還愛假裝自己住中壢。,2
"RT @yossyasyaaa: 「雷遁の猫小夜」
※マスク差分あり↓

ニンジャマスク、カタナ、ジャパニーズシノビ
新衣装はロマン全部盛りだ・・・

#ねこよのポージング
#猫小夜くろえ 
#新衣装発表記念 https://t.co/6IVZv2RNLM",2,"@0ut0u0 元気になローソン!!かあいい！！！
左の2つ食べたら普通におなかいっぱいでめちゃくちゃ悔しい…詰め込もうか迷ってます…
しばらく作業してたらお腹空くかなと思いながら…
多分いちごとショコラは左のと同じ味なので
残りふたつが楽しみです…！",2,"@HAGEscum もおぉぉぉおおおお！！
また今度ね！！！！(´Д｀)ﾊｧ…",2,甘酒と養命酒ガブガブ飲んでるし、漢方2種類服用してる。きもい。,2,母親は息子の友人が成功すると妬む。,2," @GoVegJ_moi78: ガスライティング

自分以外の者の苦痛に無関心な自己中は皆こう言うのよね。

虐待大国日本にいても、動物や他者の苦痛に無関心で自分の損得私利私欲しか興味無ければ、怒りを覚える事も無いのだろう🤷🏼

無関心を穏健と履き違える認知の歪み",2
"今日、ファームみてきた👀
滝澤君のホームランすごいなぁーってみてたら、なんとプロ初ホームランだった！
運、全部使ったわ🤣",2,"RT @Departure46: 悲しいな。本当に悔しいよな
俺だって明日からマリノスが活動停止となったら絶望する

アイドルのような、推される立場の人って好意的な言葉と同じくアンチや批判が蔓延ってる
多くの良い言葉を聞けても、僅かな暴力的な言葉が来ただけで心は大変なダメージを…",2,"昨年有馬温泉に行ったのですが、ホント良かったです。

必ずまた行こうと決めました！

今度訪問する折には友達もいっしょに連れて行ってあげようと思っています。",2,リツイート後きもい感想マンで申し訳ない🤦,2,下北沢に行ってもメンバーには会えないのに地方行けばホイホイ会えてサインももらえるからって妬む都会人怖すぎ,2,私私に優しい人が好きだから私にキツイ人は世界から消したくなる…(自己中),2
"かーーーっくいーーー！！！この相棒でANS弾いたんだねえ。あと20人くらいいるのかな〜〜？全部見れるの楽しみにしてまーす🥳🥳🥳

#GODiary",2,"@fox72fox72 礼拝ありがとうね🛐
とんでも久々会えて嬉しかった〜❕❕
教徒が人気者で教祖悔しい気持ちでいっぱいですが😾❕
好きな服だったから褒めてくれてにっこりです🎶沢山ｺﾝｯ💕してな〜🎶
わなげむずかったけど一緒に遊べ… https://t.co/X9fBJYXmIM",2,ドンブラショーはまた今度かな。明日はボテロ展行ったらおしゃん服屋のお姉様方のコーデのモデルになるのだよ。そして和也くんの布教をするのだよ。,2,"RT @Yamada_Tutur: きゃははっ♡
種牛のおっにぃさぁん♡

おはテュテュル〜っ(b｀＞△＜´)-bいぇ~い🌟

またも少ししたらお休みがくるねぇ(⃔ &gt;ω&lt;* )⃕↝💞
ムリしないよぉに一緒にふぁいおっ❣️
#おはようVtuber #Vtuber #山田テュテュ…",2,一年でレギュラーになったときも、わたくしを妬む輩に色々やられましたわ #ささみんbot,2,心灵鸡汤可以诱使个人去热爱不值得热爱的人，信任不值得信任的人；也能用它的道德和励志教诲把制度的罪恶转嫁到制度受害者的头上，让他乖乖接受自己的命运。美国蓄奴时代对黑人的道德教诲中就有许多劝导忠心、感恩、本分做人的心灵鸡汤：只要你心中欢喜，世界就充满快乐。,2
全部ビーコンがわるい #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/tgd6PUphn0,2,"RT @kokeeeee910909: #nhk_rerun
#SMAP完全版
#プロフェッショナル仕事の流儀 

放送から11年経ちました。
もうそろそろ地上波再放送のリクエストに応えていただけないでしょうか？
ジャニーズ事務所はSMAPを生み出したことをもっともっと誇ればい…",2,インピー：ヴァンから『夜景が綺麗な場所がある。今度時間がある時に私と行かないか』ってメールが来た。と思ったらまたすぐ『今のはカルディアに送るはずだったメールだ。お前はアルコールランプでも見ていろ｣ってメール来た！うぜえ！！,2,"44期生はうるさくて常にきもい奴(幼児教育特進科)とおしゃれでいじられてる奴(普通科)と英語ペラペラで歌がうまい奴(普通科)と挙動不審ながらやたらと外国好きな奴(普通科)、
かめこうでリムジン乗ってくるお嬢様←(普通科)がいます。
#姫路市児童合唱団あるある",2,RT @rsfoTDaxpFPhyTn: @hong2010kong 自分が不可能だから成功者を妬むパヨク連中,2,@katsuta_red ダメって書いてあるのに使うなんてのは許されるべきことではありません。他の人に迷惑が及ぶから禁止されています。時と場合によって自分をコントロールして動くというのは大事なことですが、自分で考えて自分で勝手に動くのは自己中で、違いますよ,2
RT @renai_kokoro01: 何もいりません。誕生日プレゼントもクリスマスプレゼントもホワイトデーのお返しだっていりません。ご飯も全部割り勘で、なんならちょっと多めにだしま す。何もいらない。ただ、そばにいてたまにぎゅっとして優しいキスを下さい。大事なことは君がいるこ…,2,もっと大学出るまでに勉強しておけばよかった。。。,2,"@yottemi 8/13.14外苑前で開催されてました。
すみません🙏自分の備忘録で…かなりの時差が発生した投稿になってしまい💦今度からはなるべく早めに、と勉強になりました。
また開催して欲しいですね✨",2,"きゃははっ♡
種牛のおっにぃさぁん♡

おはテュテュル〜っ(b｀＞△＜´)-bいぇ~い🌟

またも少ししたらお休みがくるねぇ(⃔ &gt;ω&lt;* )⃕↝💞
ムリしないよぉに一緒にふぁいおっ❣️
#おはようVtuber #Vtuber… https://t.co/2vt4Kp6P9i",2,顔が可愛くないばかまんこが他の可愛い女の子を妬むためにフェミニストになるらしい,2,"活成理想中的自己究竟有多難
我決定交給睡眠來解決
畢竟夢裡什麼都有 對吧 https://t.co/hOkRaTC5FE",2
待って久々にポイピクインしたら今まで上げたイラスト全部消えたʬʬʬʬʬʬʬʬʬʬʬʬʬʬʬʬʬʬ,2,如月塔子シリーズもっとやってほしいわWOWOWプラス,2,@yukisuke173 ゆきすけさん おはようございます😊　体調不良…辛いですね 😵　息子ちゃんもいて 思うようにはいかないだろうけど… 可能な限り身体休めてくださいね😮　ぐうたらが大正解ですからね😁👍✨,2,えぬしごめんけどきもい,2,まきちゃとの初セ、自分が既に汚れてしまっている後ろめたさを抱えつつも素直に抱かれるゆめちゃなんだけど、ことが進むに連れて凄く気持ち良くてとろとろになっちゃうゆめちゃ…。そんな顔あいつに見せたのかよって妬むまきちゃだけど、イイトコ攻める度に(めためた気持ち良さそうな嬌声で),2,"描ききれなかったけど千秋と英智くんの友情もすごい良かった…
約束覚えてたからプールの話を受けてすぐ千秋思い浮かべたんでしょ
千秋ならこんな風にしてれば自ずと声掛けてくるだろうと見越しての態度でしょ うーん良い",2
"@yeon_jun5413 ポップアップカード以外全部買えたの!🥹
絶対いらないと思ってたブレスレットまで買ってしまったw
ありがとおおおめちゃくちゃ幸せです!🥹🫶🏻🫶🏻",2,"RT @luffy030852: ベックマンがウタちゃんの事を「お頭の娘」とか「船長の娘」とは言わずに「おれ達の娘」って言ってたのも好きだなぁ😢
シャンクス1人で育ててきたんじゃなくて、赤髪海賊団総出で育ててきたって思うと泣けて来るよね…。
赤髪船員とウタちゃんとの絡みがもっと…",2,"俺休みの日こんなにぐうたらしてたっけ！？
まじで！？身体だるいけど動かないといけないっていう謎の使命感みたいなの感じるんだがw",2,そいつの奥様は資格持ちの専門職で、ある程度子供大きくなったら仕事に戻らせるって豪語してるのもきもい。それは奥さんとよく相談して決めることやろ…九州男児やからね、とか何の関係もない。ほんっっまにむりコイツ…😩,2,"残念に思ってます。運営がガールミーツシャークを追加しなかったことに。寝ながら運営に対し妬むかも知れません。
みなさん、おやぁすみぃ💤🌙ｸﾞｯﾅｲ",2," @Z4mibyc8FYL06mB: 農業ひとつとっても自分で畑で何作るか選んで頑張ってる農家はすごいと思うし、マグロ漁船も船の持ち主ならすごいと思うし、工場も旋盤とか鉄工とか技術ある人はすごいと思う

ゆとうはどれでもない、それしかできない人間の回されるレベルの、タンポポ…",2
花「ぼくが、例えば少しだけ疲れてしまって、立ち止まって全部投げ出してしまいたいって思った時には、必ず承太郎が隣に来てそっと肩を寄せてくれるんだ……それでまたぼくは、どうしようもなく彼のことが好きになる」,2,もっとおじさん構文上手くなりたいな,2,"このぐうたら生活を
直さねば…
直さねば…
直さねばぁぁぁ(白目)

 #猫がいる幸せ  #猫がいる暮らし  #縞三毛  #白目 https://t.co/oDGCiC1vLc",2,馴れ馴れしくてきもい笑笑笑笑,2,"ツイッターはアカンな、ライブとかお祭りとか他人が楽しそうにしてるのを見て妬む人が多すぎ、コロナ騒動の間に色んなイベントが中止になってさぞかし嬉しかったんやろな。
でも一番タチ悪いのは参加してルール、ルールと煩いやつやな。",2,@calm_law すごいでしょ！😳私も睨むわー。子どもはあんな親に育てられて可哀想…将来絶対ヤンキーになる…,2
"「FLY HIGH!!」を450回も良いけどハイキューの主題歌全部ループで聴きたい
#あにぺろ
＃アニソンのじかん",2,RT @FujiiYo: 大阪桐蔭 星子くんの『最後まで！最後までしっかりやろう』と泣いてる選手に声をかける姿に泣けた。そんな星子くんに『よくやった』と言わんばかりに肩に手を置く西谷監督にもっと泣けた。 https://t.co/6aTLxttk6x,2,"@mix_sti おはよおはよ🐤✨
さだるまとぐうたらしてまーす😽💘
イケメンうれし〜😆",2,"RT @hachi_PyUA: ワオ的活動中つよつよ黒足(順不同)
三浦@pua_miura  きもすぎ

ちょめ@chomechome_pua  質高いのに直家マン

オナケン @onaken_pua  俺が女ならこんな彼氏嫌だけど男として強い

早乙女＠pua_saotom…",2,@hong2010kong 自分が不可能だから成功者を妬むパヨク連中,2,"ね？ELPってすごいでしょ？
#G1CLINAX32",2
"今日もまた新グッズ全部買ってしまった。
金曜日は靖子ちゃんのライブなのに…
バイトをいくらしてもお金が水蒸気のように、知らぬ間に消えていく。
まぁ、グッズ買えたなら良いけどね！！",2,"RT @HimalayaJapan: 薬剤師は接種者に副作用の注意をしない
#新型コロナワクチン #副作用 #心筋炎 #隠蔽工作
🌟もっと最新情報を知りたい場合は以下のリンクGettrにてご覧ください！
https://t.co/xOgyc9GGvo https://t.co/…",2,@zenji029 ですね〜、ぐうたらするのもあり！,2,八代：悟が頬を押しつけてきて「先生、だーいすき」と言ったから、僕も頬を押しつけて「そうか、先生も悟がだーいすきだぞ！」と言ったら「やめろ！！！」って拒絶された。,2,弊部署でコロナが出まくってて上の連中がカチキレてるけど「機上40度！部品交換はデカすぎて一人じゃ無理！汗だく！でも金かかるから空調は付けない！空調服は持ってない部署が妬むから限定した場所以外禁止！でもマスク外さんといて！」は無理だろ,2,"私の元住んでた家の近く〜
すごい景色でしょ https://t.co/d9XN40ET9N",2
@USJ70065242 @minion_fanclub ありがとうございます💓全部で嬉しいです💓,2,@AyaNapiMaki るーなたんとこよとは釣り合わないと思うお嬢もっとちっちゃi(((,2,"@to_pamyu 当職先生は本当に私自身のような気がしてなりません（笑）
私は料理が好きなので、メシ作るようにしてます。ただ、本当は仕事しないといけないのに、私が家事してるのを尻目にカミ様がぐうたらしてる（土日はいつもそう）のが… https://t.co/359kKUDUFF",2,絶妙にきもいラインナップやん,2,@KimakimaSsss ぽめぇらも撮ってたやん...みさたこ、、、くそ、、、今でも妬むわいは,2," @knk_gdgd: それを受け取った🎨、一瞬固まってから優しく笑って「ありがとう❄️、すごい嬉しいよ。一緒に使おうね」って子猫❄️の頭撫でてあげるといい

後日、
「🎀見なさい！　これ❄️からもらったマグカップ！　可愛いでしょ！　羨ましいでしょ！」ってどちゃくそ自慢する…",2
それはそれとしてアン風特殊接触が見たい(強欲),2,"RT @leme_ty: あぁもう悔しい、虚しい、、
普通に動員数を考えたら40万は絶対超えれるんだよね...
多ステした人は参戦した分だけ買うとかさ、もっとあるでしょ、LIVE行って終わりなの？悔しいけど頑張って積んでる人だけじゃどうしようもないのよ、、、

Two as O…",2,@VcQQAPBU5VDVSta ちょっとぐうたらちゃんに見てほしい動画あるからちょっと送らしてね〜😆😆😆,2,きもいww,2,"#映像の世紀
＃NHK
こういうの見ると、彼らが、日本を羨ましく妬む気持ちがなんとなく理解できるな。
彼らは、権力があっても、なくても、枕を高くして眠れないんだからね。",2,@nekotoixtusho: チキンライスって、たまご焼いてのせて、ケチャップかけたら、オムライスでしょ。秘められたポテンシャルがすごいな https://t.co/KR93dSbKEV,2
